href,text,title,codice_comune_istat
https://form.agid.gov.it/view/a2683750-77f0-11ef-b77d-dffbeb1aa05d,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001001
https://form.agid.gov.it/view/f2037368-a9cb-4882-8550-e1e869c1fb88,Dichiarazione di accessibilità,,001002
https://form.agid.gov.it/view/a9ef4940-daf8-11ee-b1d2-493e14a57623,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001004
https://form.agid.gov.it/view/6e267f80-79ab-11ef-b444-611b198c1def,Dichiarazione di accessibilità,,001006
https://form.agid.gov.it/view/9bf0c200-7676-11ef-87c4-5be9a50aa412,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001007
https://form.agid.gov.it/view/77b9eb3b-48f0-450a-a546-4141af27a19d/,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001008
https://form.agid.gov.it/view/9ffb4d20-6a96-11ef-b0eb-7d55544ab7d5,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001009
https://form.agid.gov.it/view/fac0d400-b2e9-11ef-ac26-7db2b761bf88,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001010
https://form.agid.gov.it/view/6eb991e0-3dcd-11ef-b21c-63f6dbea28ac,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001011
https://form.agid.gov.it/view/50088470-c11a-11ee-acdb-07515179e9b4,Dichiarazione di accessibilità,,001012
https://form.agid.gov.it/view/492cc5e0-6ac4-11ef-b1e3-935721ccc37d,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001013
https://form.agid.gov.it/view/802af6b0-6b5b-11ef-8ce7-bb962caa7bcc,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001014
https://form.agid.gov.it/view/689ab850-b616-11ee-ab8e-1b5027ed4caa,"Dichiarazione di
                                                        accessibilità",Dichiarazione di accessibilità,001015
https://form.agid.gov.it/view/f8963d00-f8c7-11ee-9a7b-5bdf3a2821e9,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001016
https://form.agid.gov.it/view/c8db2170-6e83-11ef-b28a-339ea059c027,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001017
https://form.agid.gov.it/view/8b61d7f0-6aa8-11ef-a147-bfffcf06d610,Dichiarazione di accessibilità,,001018
https://form.agid.gov.it/view/0693fda0-3f6a-11ef-91e1-5563bbedda71,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001019
https://form.agid.gov.it/view/e4dc3cc0-7427-11ef-962c-f3d15f6177fb,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001020
https://form.agid.gov.it/view/270231d0-6f65-11ef-931a-8745b56b9152,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001021
https://form.agid.gov.it/view/5ec0ba30-03dd-11f0-b732-617556072d47,Dichiarazione di accessibilità,,001022
https://form.agid.gov.it/view/70d1fe30-79b0-11ef-86c7-4d442a35782a,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001023
https://form.agid.gov.it/view/00c4f560-7a8d-11ef-8356-a389c31c056e,Dichiarazione di accessibilità,,001024
https://form.agid.gov.it/view/3c4d4300-7fd6-11ef-9297-7f70cd90f853,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001025
https://www.comune.bobbiopellice.to.it/Menu.aspx?IDDettaglioPagina=121607,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001026
https://form.agid.gov.it/view/dd6a7550-7644-11ef-90e2-03c22a55ca8e,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001027
https://form.agid.gov.it/view/82fd03b0-b607-11ee-ba2f-dd4871f2ee01,Dichiarazione di accessibilità,,001028
https://form.agid.gov.it/view/3a9bd910-773c-11ef-a5c6-b3894e4fe622,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001029
https://form.agid.gov.it/view/fd77ed90-b632-11ef-b4e7-e39fee36f1a7,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001030
https://form.agid.gov.it/view/51084da0-79a8-11ef-be9b-e913b14892ab,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001031
https://form.agid.gov.it/view/013dc01b-0b82-40ed-84a3-c09e46d57c55/,Accessibilità,,001032
https://form.agid.gov.it/view/205af130-7020-11ef-b40b-75130d46bd52,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001034
https://form.agid.gov.it/view/cdafc900-71ba-11ef-9c33-8bf12afa225d,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001035
https://form.agid.gov.it/view/c9a50300-7266-11ef-bfca-5b8624a9aede,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001036
https://form.agid.gov.it/view/8c612fe0-ff2f-11ef-81a1-41d862bc83e1,Dichiarazione di accessibilità,,001037
https://form.agid.gov.it/view/e744eb50-2c89-11ef-b4e5-73bf6beff4d3,Dichiarazione di accessibilità,,001038
https://form.agid.gov.it/view/6d428080-ef7d-11ef-ac11-d7754df60177,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001039
https://www.comune.bruzolo.to.it/HOME/Menu.aspx?IDDettaglioPagina=153624,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001040
https://form.agid.gov.it/view/6180fa36-7018-4163-b884-1ac587c2b7ed,Dichiarazione di accessibilità,Vai alla pagina Dichiarazione di accessibilità,001040
https://form.agid.gov.it/view/1264fcc2-7d68-4223-9d62-d9feed6a96ea/,Dichiarazione di accessibilità,,001041
https://form.agid.gov.it/view/ed50fe20-75a0-11ef-ab24-638ec16aa652,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001043
https://form.agid.gov.it/view/0858c5a0-7500-11ef-b9c9-c340aa727905,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001044
https://form.agid.gov.it/view/9ee81380-79ac-11ef-8ac3-7951701907ba,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001045
https://form.agid.gov.it/view/2b780be0-b88a-11ef-a35e-37203df0d99a,Dichiarazione di accessibilità,,001046
https://form.agid.gov.it/view/6ab1f260-0017-11f0-b569-55518f9277ea,Dichiarazione di accessibilità,,001047
https://form.agid.gov.it/view/0f186dd0-79b7-11ef-b41e-f58935e398b1,Dichiarazione di accessibilità,,001048
https://form.agid.gov.it/view/44814180-031a-11f0-94b2-e51086d4d7e5,Dichiarazione di accessibilità,,001049
https://form.agid.gov.it/view/46a43a70-6b6d-11ef-a42f-819854b2279e,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001050
https://form.agid.gov.it/view/e7cbdc60-1842-11ef-a2d5-af7fe09498e3,Dichiarazione di accessibilità,,001051
https://form.agid.gov.it/view/00128f00-79c1-11ef-bf59-e9b4c89bdf43,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001052
https://form.agid.gov.it/view/c0533d50-0e18-11f0-bbb7-9971e050407e,Dichiarazione di accessibilità,,001053
https://www.comune.cantoira.to.it/it-it/accessibilita,Dichiarazione di accessibilità,,001054
https://www.comune.caprie.to.it/it-it/accessibilita,Dichiarazione di accessibilità,,001055
https://comune.caravino.to.it/amministrazione-trasparente,"Amministrazione Trasparente
                                La trasparenza è accessibilità totale ai dati e ai documenti in possesso della pubblica amministrazione",Vai alla pagina: Amministrazione Trasparente,001056
https://form.agid.gov.it/view/62c65450-74cc-11ef-95c8-630451ffffb8,"Dichiarazione di
                                                        accessibilità",Dichiarazione di accessibilità,001056
https://form.agid.gov.it/view/c658ad40-773f-11ef-86cb-55a63feae79b,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001057
https://form.agid.gov.it/view/ead3bc10-9b92-11ef-bd2d-4b12980989fa,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001058
https://form.agid.gov.it/view/784d9540-6a90-11ef-9399-49109a05453e,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001060
https://www.comune.cascinette.to.it/it-it/accessibilita,Dichiarazione di accessibilità,,001061
https://www.comune.caselette.to.it/it-it/accessibilita,Dichiarazione di accessibilità,,001062
https://form.agid.gov.it/view/bc0aaf80-711a-11ef-8a98-cd67bbdc6fe3,Dichiarazione di accessibilità,Dichiarazione di accessibilità,001063
https://form.agid.gov.it/view/df3bac40-809f-11ef-911a-5f7ab1c1c025,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001064
https://form.agid.gov.it/view/e7478e70-4d7a-11ef-9cab-198b6a2693fb,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001065
https://form.agid.gov.it/view/e78d8d30-87c7-11ef-aded-9f998d21644a,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001066
https://form.agid.gov.it/view/c978f120-7991-11ef-b5a5-997f93d2304f,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001067
https://form.agid.gov.it/view/fb718af0-b0bb-11ef-83e3-bb5e55f11330,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001068
https://form.agid.gov.it/view/05002e60-a03a-11ef-ac6b-3166c111c138,Dichiarazione di accessibilità,,001069
https://form.agid.gov.it/view/344ccdd0-7737-11ef-9d00-df5120a08640,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001070
https://form.agid.gov.it/view/300dc523-7244-4aee-882f-15f788b0555a,Dichiarazione di accessibilità,,001071
https://form.agid.gov.it/view/d9fc6780-6f7c-11ef-b5cc-651b56410c11,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001072
https://form.agid.gov.it/view/6d1f2d30-8d29-11ef-a92c-c111a3c34158,"Dichiarazione di
                                                        accessibilità",Dichiarazione di accessibilità,001073
https://form.agid.gov.it/view/cd1002e0-0a52-11f0-a96d-bb2046a1690a,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001074
https://www.comune.chialamberto.to.it/it-it/accessibilita,Dichiarazione di accessibilità,,001075
https://form.agid.gov.it/view/1f14b9d0-e214-11ef-9434-213c593bf77c,Dichiarazione di accessibilità,Link a Dichiarazione di accessibilità,001076
https://form.agid.gov.it/view/885d1b00-b941-11ee-bb2a-ad9137b981d9,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001077
https://form.agid.gov.it/view/9e789060-79ce-11ef-95a6-99a60df94018,Dichiarazione di accessibilità,Dichiarazione di accessibilità,001078
https://form.agid.gov.it/view/8b9bcac8-1ec4-4ca9-90db-caac8b5b562b,Accessibilità,Accessibilità,001078
https://form.agid.gov.it/view/0bf0d408-53ed-445b-9022-e6ef4b0a7aa3,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001079
https://form.agid.gov.it/view/29a764d0-03dc-11f0-a122-e7345d55200b,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001080
https://form.agid.gov.it/view/a5f45570-74e9-11ef-b93b-efa7c83c7909,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001081
https://form.agid.gov.it/view/c63d0810-9d14-11ef-b1f7-a1a3615151c4,Dichiarazione di accessibilità,Dichiarazione di accessibilità,001082
https://form.agid.gov.it/view/b96344c0-0312-11ef-a3dc-edb30178b3ec,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001083
https://form.agid.gov.it/view/4fedd5c0-74ee-11ef-9c0f-352ef6622f7d,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001084
https://form.agid.gov.it/view/6751f780-0c40-11ef-8cb6-2b001bead74a,Dichiarazione di accessibilità,Link alla pagina della Dichiarazione di accessibilità,001085
https://form.agid.gov.it/view/16c3c810-7406-11ef-8028-a5500c3a6431,Dichiarazione di accessibilità,Accesso all'informazione,001086
https://form.agid.gov.it/view/cc0ceac0-0a52-11f0-94a7-2f74803f8080,Dichiarazione di accessibilità (Apre il link in una nuova scheda),,001087
