codice_comune_istat,href,text,comune
001001,https://form.agid.gov.it/view/a2683750-77f0-11ef-b77d-dffbeb1aa05d,Dichiarazione di accessibilità,Agliè
001002,https://form.agid.gov.it/view/f2037368-a9cb-4882-8550-e1e869c1fb88,Dichiarazione di accessibilità,Airasca
001004,https://form.agid.gov.it/view/a9ef4940-daf8-11ee-b1d2-493e14a57623,Dichiarazione di accessibilità,Albiano d'Ivrea
001006,https://form.agid.gov.it/view/6e267f80-79ab-11ef-b444-611b198c1def,Dichiarazione di accessibilità,Almese
001007,https://form.agid.gov.it/view/9bf0c200-7676-11ef-87c4-5be9a50aa412,Dichiarazione di accessibilità,Alpette
001008,https://form.agid.gov.it/view/77b9eb3b-48f0-450a-a546-4141af27a19d/,Dichiarazione di accessibilità,Alpignano
001009,https://form.agid.gov.it/view/9ffb4d20-6a96-11ef-b0eb-7d55544ab7d5,Dichiarazione di accessibilità,Andezeno
001012,https://form.agid.gov.it/view/50088470-c11a-11ee-acdb-07515179e9b4,Dichiarazione di accessibilità,Arignano
001013,https://form.agid.gov.it/view/492cc5e0-6ac4-11ef-b1e3-935721ccc37d,Dichiarazione di accessibilità,Avigliana
001014,https://form.agid.gov.it/view/802af6b0-6b5b-11ef-8ce7-bb962caa7bcc,Dichiarazione di accessibilità,Azeglio
001015,https://form.agid.gov.it/view/689ab850-b616-11ee-ab8e-1b5027ed4caa,"Dichiarazione di
                                                        accessibilità",Bairo
001016,https://form.agid.gov.it/view/f8963d00-f8c7-11ee-9a7b-5bdf3a2821e9,Dichiarazione di accessibilità,Balangero
001017,https://form.agid.gov.it/view/c8db2170-6e83-11ef-b28a-339ea059c027,Dichiarazione di accessibilità,Baldissero Canavese
001018,https://form.agid.gov.it/view/8b61d7f0-6aa8-11ef-a147-bfffcf06d610,Dichiarazione di accessibilità,Baldissero Torinese
001019,https://form.agid.gov.it/view/0693fda0-3f6a-11ef-91e1-5563bbedda71,Dichiarazione di accessibilità,Balme
001020,https://form.agid.gov.it/view/e4dc3cc0-7427-11ef-962c-f3d15f6177fb,Dichiarazione di accessibilità,Banchette
001021,https://form.agid.gov.it/view/270231d0-6f65-11ef-931a-8745b56b9152,Dichiarazione di accessibilità,Barbania
001022,https://form.agid.gov.it/view/5ec0ba30-03dd-11f0-b732-617556072d47,Dichiarazione di accessibilità,Bardonecchia
001023,https://form.agid.gov.it/view/70d1fe30-79b0-11ef-86c7-4d442a35782a,Dichiarazione di accessibilità,Barone Canavese
001024,https://form.agid.gov.it/view/00c4f560-7a8d-11ef-8356-a389c31c056e,Dichiarazione di accessibilità,Beinasco
001027,https://form.agid.gov.it/view/dd6a7550-7644-11ef-90e2-03c22a55ca8e,Dichiarazione di accessibilità,Bollengo
001028,https://form.agid.gov.it/view/82fd03b0-b607-11ee-ba2f-dd4871f2ee01,Dichiarazione di accessibilità,Borgaro Torinese
001029,https://form.agid.gov.it/view/3a9bd910-773c-11ef-a5c6-b3894e4fe622,Dichiarazione di accessibilità,Borgiallo
001030,https://form.agid.gov.it/view/fd77ed90-b632-11ef-b4e7-e39fee36f1a7,Dichiarazione di accessibilità,Borgofranco d'Ivrea
001031,https://form.agid.gov.it/view/51084da0-79a8-11ef-be9b-e913b14892ab,Dichiarazione di accessibilità,Borgomasino
001032,https://form.agid.gov.it/view/013dc01b-0b82-40ed-84a3-c09e46d57c55/,Accessibilità,Borgone Susa
001034,https://form.agid.gov.it/view/205af130-7020-11ef-b40b-75130d46bd52,Dichiarazione di accessibilità,Brandizzo
001035,https://form.agid.gov.it/view/cdafc900-71ba-11ef-9c33-8bf12afa225d,Dichiarazione di accessibilità,Bricherasio
001036,https://form.agid.gov.it/view/c9a50300-7266-11ef-bfca-5b8624a9aede,Dichiarazione di accessibilità,Brosso
001037,https://form.agid.gov.it/view/8c612fe0-ff2f-11ef-81a1-41d862bc83e1,Dichiarazione di accessibilità,Brozolo
001038,https://form.agid.gov.it/view/e744eb50-2c89-11ef-b4e5-73bf6beff4d3,Dichiarazione di accessibilità,Bruino
001039,https://form.agid.gov.it/view/6d428080-ef7d-11ef-ac11-d7754df60177,Dichiarazione di accessibilità,Brusasco
001041,https://form.agid.gov.it/view/1264fcc2-7d68-4223-9d62-d9feed6a96ea/,Dichiarazione di accessibilità,Buriasco
001042,https://form.agid.gov.it/view/376afcc0-79b3-11ef-8919-858a0e26e081,Dichiarazione di accessibilità,Burolo
001043,https://form.agid.gov.it/view/ed50fe20-75a0-11ef-ab24-638ec16aa652,Dichiarazione di accessibilità,Busano
001044,https://form.agid.gov.it/view/0858c5a0-7500-11ef-b9c9-c340aa727905,Dichiarazione di accessibilità,Bussoleno
001045,https://form.agid.gov.it/view/9ee81380-79ac-11ef-8ac3-7951701907ba,Dichiarazione di accessibilità,Buttigliera Alta
001046,https://form.agid.gov.it/view/2b780be0-b88a-11ef-a35e-37203df0d99a,Dichiarazione di accessibilità,Cafasse
001047,https://form.agid.gov.it/view/6ab1f260-0017-11f0-b569-55518f9277ea,Dichiarazione di accessibilità,Caluso
001048,https://form.agid.gov.it/view/0f186dd0-79b7-11ef-b41e-f58935e398b1,Dichiarazione di accessibilità,Cambiano
001049,https://form.agid.gov.it/view/44814180-031a-11f0-94b2-e51086d4d7e5,Dichiarazione di accessibilità,Campiglione Fenile
001050,https://form.agid.gov.it/view/46a43a70-6b6d-11ef-a42f-819854b2279e,Dichiarazione di accessibilità,Candia Canavese
001051,https://form.agid.gov.it/view/e7cbdc60-1842-11ef-a2d5-af7fe09498e3,Dichiarazione di accessibilità,Candiolo
001052,https://form.agid.gov.it/view/00128f00-79c1-11ef-bf59-e9b4c89bdf43,Dichiarazione di accessibilità,Canischio
001053,https://form.agid.gov.it/view/c0533d50-0e18-11f0-bbb7-9971e050407e,Dichiarazione di accessibilità,Cantalupa
001054,/it-it/accessibilita,Dichiarazione di accessibilità,Cantoira
001055,/it-it/accessibilita,Dichiarazione di accessibilità,Caprie
001056,/amministrazione-trasparente, Amministrazione Trasparente La trasparenza è accessibilità totale ai dati e ai documenti in possesso della pubblica amministrazione,Caravino
001056,https://form.agid.gov.it/view/62c65450-74cc-11ef-95c8-630451ffffb8,"Dichiarazione di
                                                        accessibilità",Caravino
001057,https://form.agid.gov.it/view/c658ad40-773f-11ef-86cb-55a63feae79b,Dichiarazione di accessibilità,Carema
001058,https://form.agid.gov.it/view/ead3bc10-9b92-11ef-bd2d-4b12980989fa,Dichiarazione di accessibilità,Carignano
001060,https://form.agid.gov.it/view/784d9540-6a90-11ef-9399-49109a05453e,Dichiarazione di accessibilità,Casalborgone
001061,/it-it/accessibilita,Dichiarazione di accessibilità,Cascinette d'Ivrea
