codice_comune_istat,codice_ipa,denominazione_ente,url
081001,c_a176,Comune di Alcamo,https://www.comune.alcamo.tp.it
081002,c_b288,Comune di Buseto Palizzolo,https://www.comune.busetopalizzolo.tp.it
081003,c_b385,Comune di Calatafimi Segesta,https://www.comune.calatafimisegesta.tp.it
081004,c_b521,Comune di Campobello di Mazara,https://www.comune.campobellodimazara.tp.it
081005,c_c130,Comune di Castellammare del Golfo,https://www.comune.castellammare.tp.it
081006,c_c286,Comune di Castelvetrano,https://www.comune.castelvetrano.tp.it
081007,c_d234,Comune di Custonaci,https://www.comune.custonaci.trapani.it
081008,c_d423,Comune di Erice,https://www.comune.erice.tp.it
081009,c_d518,Comune di Favignana,http://www.comune.favignana.tp.it
081010,c_e023,Comune di Gibellina,https://www.comune.gibellina.tp.it
081011,c_e974,Comune di Marsala,https://www.comune.marsala.tp.it
081012,c_f061,Comune di Mazara del Vallo,https://www.comune.mazaradelvallo.tp.it
081013,c_g208,Comune di Paceco,https://www.comune.paceco.tp.it
081014,c_g315,Comune di Pantelleria,https://www.comunepantelleria.it
081015,c_g347,Comune di Partanna,https://www.comune.partanna.tp.it
081016,c_g767,Comune di Poggioreale,https://www.comune.poggioreale.tp.it
081017,c_h688,Comune di Salaparuta,https://www.comune.salaparuta.tp.it
081018,c_h700,Comune di Salemi,https://www.comune.salemi.trapani.it/it
081019,c_i291,Comune di Santa Ninfa,https://www.comune.santaninfa.tp.it
081020,c_i407,Comune di San Vito Lo Capo,https://www.comune.sanvitolocapo.tp.it
081021,c_l331,Comune di Trapani,https://www.comune.trapani.it
081022,c_g319,Comune di Valderice,https://www.comune.valderice.tp.it
081023,c_m081,Comune di Vita,https://www.comune.vita.tp.it
081024,c_m281,Comune di Petrosino,https://www.comune.petrosino.tp.it
081025,3PS17TYB,comune di misiliscemi,https://www.comune.misiliscemi.tp.it
082001,c_a195,Comune di Alia,https://www.comune.alia.pa.it
082002,c_a202,Comune di Alimena,https://www.comune.alimena.pa.it
082003,c_a203,Comune di Aliminusa,https://www.comunedialiminusa.it
082004,c_a229,Comune di Altavilla Milicia,https://www.comune.altavillamilicia.pa.it
082005,c_a239,Comune di Altofonte,https://www.comune.altofonte.pa.it
082006,c_a546,Comune di Bagheria,https://www.comune.bagheria.pa.it
082007,c_a592,Comune di Balestrate,https://www.comune.balestrate.pa.it
082008,c_a719,Comune di Baucina,https://egov.comune.baucina.pa.it/
082009,c_a764,Comune di Belmonte Mezzagno,https://www.comune.belmonte.pa.it
082010,c_a882,Comune di Bisacquino,https://www.comune.bisacquino.pa.it
082011,c_a946,Comune di Bolognetta,https://www.comune.bolognetta.pa.it
082012,c_a958,Comune di Bompietro,https://www.comune.bompietro.pa.it
082013,c_a991,Comune di Borgetto,https://www.comune.borgetto.pa.it
082014,c_b315,Comune di Caccamo,https://www.comune.caccamo.pa.it
082015,c_b430,Comune di Caltavuturo,https://www.comune.caltavuturo.pa.it
082016,c_b533,Comune di Campofelice di Fitalia,https://www.comune.campofelicedifitalia.pa.it
082017,c_b532,Comune di Campofelice di Roccella,https://www.comune.campofelicediroccella.pa.it
082018,c_l9516b,Comune di Campofiorito,https://comune.campofiorito.pa.it
082019,c_b556,Comune di Camporeale,https://www.comune.camporeale.pa.it
082020,c_b645,Comune di Capaci,https://www.comune.capaci.pa.it
082021,c_b780,Comune di Carini,https://www.comune.carini.pa.it
082022,c_c067,Comune di Castelbuono,https://www.comune.castelbuono.pa.it
082023,c_c074,Comune di Casteldaccia,https://www.comune.casteldaccia.pa.it
082024,c_c135,Comune di Castellana Sicula,https://www.comune.castellana-sicula.pa.it
082025,c_c344,Comune di Castronovo di Sicilia,https://www.comune.castronovodisicilia.pa.it/
082026,c_c420,Comune di Cefala' Diana,https://www.comune.cefaladiana.pa.it/
082027,c_c421,Comune di Cefalu',https://www.comune.cefalu.pa.it/
082028,c_c496,Comune di Cerda,https://www.comune.cerda.pa.it
082029,c_c654,Comune di Chiusa Sclafani,https://www.comune.chiusasclafani.pa.it
082030,c_c696,Comune di Ciminna,https://www.comune.ciminna.pa.it
082031,c_c708,Comune di Cinisi,https://www.comune.cinisi.pa.it
082032,c_c871,Comune di Collesano,https://www.comune.collesano.pa.it
082033,c_c968,Comune di Contessa Entellina,https://www.comune.contessaentellina.pa.it/
082034,c_d009,Comune di Corleone,https://www.comune.corleone.pa.it
082035,c_d567,Comune di Ficarazzi,https://www.comune.ficarazzi.pa.it
082036,c_d907,Comune di Gangi,https://www.comune.gangi.pa.it
082037,c_d977,Comune di Geraci Siculo,https://www.comune.geracisiculo.pa.it
