codice_comune_istat,href,text,comune
081001,https://form.agid.gov.it/view/4a6b4150-d09d-11ee-8a49-1f06de86f03c,Dichiarazione di accessibilità,Alcamo
081001,https://form.agid.gov.it/view/4a6b4150-d09d-11ee-8a49-1f06de86f03c,Accessibilità,Alcamo
081002,https://form.agid.gov.it/view/31e19d40-7652-11ef-81fc-43b3d79bfbc8,Dichiarazione di accessibilità,Buseto Palizzolo
081002,https://form.agid.gov.it/view/31e19d40-7652-11ef-81fc-43b3d79bfbc8,Accessibilità,Buseto Palizzolo
081003,https://form.agid.gov.it/view/706e73e6-0bdf-46b9-8a6e-71ebfdd9b01c,Dichiarazione di accessibilità,Calatafimi-Segesta
081004,https://form.agid.gov.it/view/2ed63e40-8164-11ef-ab70-97e8f1667e8e,Dichiarazione di accessibilità,Campobello di Mazara
081005,https://form.agid.gov.it/view/d2272890-75a5-11ef-8535-912bbe754dda,Dichiarazione di accessibilità,Castellammare del Golfo
081005,https://www.comune.castellammare.tp.it/feedback-accessibilita/,Feedback accessibilità,Castellammare del Golfo
081006,https://form.agid.gov.it/view/0bea3310-ea82-11ee-aa5d-4769c873390e,Obiettivi di Accessibilità,Castelvetrano
081006,https://form.agid.gov.it/view/302dda80-71b7-11ef-8560-cb77dbff29d9,Dichiarazione di Accessibilità,Castelvetrano
081006,https://comune.castelvetrano.tp.it/segnalazioni-in-tema-di-accessibilita/14,Feeedback Accessibilità,Castelvetrano
081007,https://form.agid.gov.it/view/e50b0143-ca6d-42c7-9c15-5125d3b65802/,Dichiarazione di accessibilità,Custonaci
081007,https://form.agid.gov.it/view/e50b0143-ca6d-42c7-9c15-5125d3b65802,Accessibilità,Custonaci
081008,https://form.agid.gov.it/view/cdcfa370-a346-11ef-849f-375e501f2786,Dichiarazione di accessibilità,Erice
081008,https://form.agid.gov.it/view/cdcfa370-a346-11ef-849f-375e501f2786,Accessibilità,Erice
081009,https://form.agid.gov.it/view/eccb8b3d-4b80-4a9d-be09-922bd3926036/,Dichiarazione di accessibilità,Favignana
081009,https://form.agid.gov.it/view/eccb8b3d-4b80-4a9d-be09-922bd3926036,Accessibilità,Favignana
081010,https://form.agid.gov.it/view/b278c742-14d5-44e1-ab16-c2e4ff57ef33,Dichiarazione di accessibilità,Gibellina
081011,https://form.agid.gov.it/view/85ca5da0-7019-11ef-bd1a-d31c65ec98f4,Dichiarazione di accessibilità,Marsala
081011,https://form.agid.gov.it/view/85ca5da0-7019-11ef-bd1a-d31c65ec98f4,Accessibilità,Marsala
081012,https://form.agid.gov.it/view/bccb0c70-5a28-11ef-8760-292e9dae982e,Dichiarazione di accessibilità,Mazara del Vallo
081012,https://form.agid.gov.it/view/bccb0c70-5a28-11ef-8760-292e9dae982e,Accessibilità,Mazara del Vallo
081013,https://form.agid.gov.it/view/a7f5306e-2369-4fea-8d05-1a1fda924825,Dichiarazione di accessibilità,Paceco
081014,https://form.agid.gov.it/view/5dbd1090-7669-11ef-8149-13f39a6a9f78,Dichiarazione di accessibilità,Pantelleria
081015,https://form.agid.gov.it/view/84f25500-7b0d-11ef-a657-9d10fbc4b31d,Dichiarazione di accessibilità,Partanna
081016,https://form.agid.gov.it/view/3764c9c0-7988-11ef-8144-2bf839156c3e,Dichiarazione di accessibilità,Poggioreale
081017,https://form.agid.gov.it/view/b51dfb4e-70ca-456d-9c06-660da39a7f73,Dichiarazione di accessibilità,Salaparuta
081018,https://form.agid.gov.it/view/e5175a30-a0e2-11ee-960c-1fd06e9b3f15,Dichiarazione di accessibilità,Salemi
081018,https://form.agid.gov.it/view/e5175a30-a0e2-11ee-960c-1fd06e9b3f15,Accessibilità,Salemi
081019,https://form.agid.gov.it/view/a0c61e50-79d8-11ef-b8c7-2dcdd7a77cfa,Dichiarazione di Accessibilità,Santa Ninfa
081020,https://form.agid.gov.it/view/306eb600-04e1-11f0-8067-016481e32306,Dichiarazione di accessibilità,San Vito Lo Capo
081020,https://form.agid.gov.it/view/8655ba27-273d-4f24-9c55-333a9fa200cf,Accessibilità,San Vito Lo Capo
081021,https://www.comune.trapani.it/segnalazioni-in-tema-di-accessibilita/,Feedback accessibilità,Trapani
081021,https://form.agid.gov.it/view/e21521b0-79b2-11ef-a505-b58e6ce45f7f,Dichiarazione di accessibilità,Trapani
081022,https://form.agid.gov.it/view/991b8a00-92a6-11ef-a1ab-f742622fbce1,Dichiarazione di accessibilità,Valderice
081022,https://form.agid.gov.it/view/991b8a00-92a6-11ef-a1ab-f742622fbce1,Accessibilità,Valderice
081023,https://form.agid.gov.it/view/764e3450-7b0e-11ef-8f08-c55168851bce,Dichiarazione di accessibilità,Vita
081023,https://form.agid.gov.it/view/764e3450-7b0e-11ef-8f08-c55168851bce,Accessibilità,Vita
081024,#,Dichiarazione di accessibilità,Petrosino
081025,https://www.comune.misiliscemi.tp.it/segnalazioni-in-tema-di-accessibilita/,Feedback accessibilità,Misiliscemi
082001,https://form.agid.gov.it/view/0670bd40-0bc5-11f0-b37c-9f9e94e14b19,Dichiarazione di accessibilità,Alia
082003,https://form.agid.gov.it/view/d870769c-9764-4e13-9e75-7fc4e2463713,Dichiarazione di accessibilità,Aliminusa
082004,https://form.agid.gov.it/view/b93467f0-065d-11f0-b2d6-074ce3a4a578,Dichiarazione di accessibilità,Altavilla Milicia
082004,https://form.agid.gov.it/view/4c405b80-92a5-11ef-9e32-c913a87884f3,Accessibilità,Altavilla Milicia
082006,https://www.comune.bagheria.pa.it/it/accessibility,Accessibilità,Bagheria
082006,https://form.agid.gov.it/view/06eeffe0-7465-11ef-a46b-53f0d9f0410b,Dichiarazione di accessibilità,Bagheria
082006,https://www.comune.bagheria.pa.it/it/page/accessibilita-feedback-e-recapiti?,Feedback accessibilità,Bagheria
082007,https://form.agid.gov.it/view/298a5fa0-a8c6-11ef-b7a6-0f886e084d8b,Dichiarazione di accessibilità,Balestrate
082007,https://www.comune.balestrate.pa.it/feedback-accessibilita/,Feedback accessibilità,Balestrate
082008,https://form.agid.gov.it/view/d3ae69d0-0579-11f0-a830-79aeaa4067a4,Dichirazione di accessibilità,Baucina
082010,https://x,Dichiarazione di accessibilità,Bisacquino
082010,https://x,Obiettivi di accessibilità,Bisacquino
082011,https://servizionline.comune.bolognetta.pa.it/urbi/progs/urp/ur1UR033.sto?DB_NAME=wt00037934&w3cbt=S," Amministrazione Trasparente L'Amministrazione Trasparente del comune è una sezione online che pubblica documenti, informazioni e dati per garantire trasparenza, legalità e accessibilità sulle attività e decisioni dell'ente pubblico.",Bolognetta
082011,https://servizi.comune.bolognetta.pa.it/content/landingcontent/?amministrazionetrasparente," Amministrazione Trasparente fino al 25/02/2025 L'Amministrazione Trasparente del comune è una sezione online che pubblica documenti, informazioni e dati per garantire trasparenza, legalità e accessibilità sulle attività e decisioni dell'ente pubblico.",Bolognetta
082011,https://form.agid.gov.it/view/906785d0-71a9-11ef-bd06-2176ebbf9f58,Dichiarazione di accessibilità,Bolognetta
082011,javascript:void(0);,Open toolbar Tool di Accessibilità ,Bolognetta
082012,https://form.agid.gov.it/view/c75774e0-798a-11ef-aba7-4d2d4cbcb984,Dichiarazione di accessibilità,Bompietro
082012,https://form.agid.gov.it/view/c75774e0-798a-11ef-aba7-4d2d4cbcb984,Accessibilità,Bompietro
082013,#,Dichiarazione di accessibilità,Borgetto
